City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,fort stockton,30.894,-102.8793,28.42,52,100,0.94,US,1714062517
152,lucapa,-8.4192,20.7447,23.46,70,72,0.16,AO,1714062620
153,pocatello,42.8713,-112.4455,12.88,70,75,7.2,US,1714062620
154,sao felix do xingu,-6.6447,-51.995,31.65,57,100,1.88,BR,1714062621
155,port elizabeth,-33.918,25.5701,18.94,82,0,9.77,ZA,1714062502
156,mejit,10.2753,170.8646,27.26,70,86,9.45,MH,1714062621
157,kamyzyak,46.11,48.0736,17.99,63,0,4.0,RU,1714062549
158,yanchep,-31.55,115.6833,19.07,47,99,4.73,AU,1714062622
159,sabang,5.8933,95.3214,29.92,71,66,1.59,ID,1714062623
160,farasan,16.7022,42.1183,31.06,68,1,4.47,SA,1714062623
161,rio grande,-32.035,-52.0986,23.06,61,4,5.12,BR,1714062437
162,dryden,49.7833,-92.7503,11.16,40,0,4.63,CA,1714062536
163,ankang,32.68,109.0172,18.56,70,18,0.25,CN,1714062624
164,mili,6.0815,171.735,28.0,80,69,9.78,MH,1714062624
165,alofi,-19.0595,-169.9187,22.94,94,92,1.54,NU,1714062625
166,invercargill,-46.4,168.35,5.01,90,100,4.02,NZ,1714062489
167,nemuro,43.3236,145.575,6.81,96,100,8.01,JP,1714062485
168,ardabil,38.2498,48.2933,12.75,44,0,6.17,IR,1714062626
169,salalah,17.0151,54.0924,29.05,79,40,3.09,OM,1714062626
170,le blanc,46.6667,1.1667,12.22,81,98,2.66,FR,1714062627
171,abeche,13.8292,20.8324,35.8,13,3,2.13,TD,1714062627
172,san pedro pochutla,15.7333,-96.4667,34.84,35,0,2.45,MX,1714062490
173,kodiak,57.79,-152.4072,2.73,93,100,1.54,US,1714062501
174,keflavik,64.0049,-22.5624,10.95,71,75,8.23,IS,1714062628
175,fale old settlement,-9.3852,-171.2468,29.2,75,19,5.07,TK,1714062350
