City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,kende,11.5197,4.2603,89.62,37,17,7.07,NG,1713665520
136,gambela,8.25,34.5833,75.2,77,20,2.06,ET,1713665520
137,tofol,5.3248,163.0078,87.58,70,75,9.22,FM,1713665521
138,la mojonera,37.2923,-2.4373,48.85,75,63,6.76,ES,1713665521
139,aoulef,26.9667,1.0833,82.53,11,100,10.02,DZ,1713665521
140,ngaoundere,7.3167,13.5833,78.42,45,100,4.61,CM,1713665522
141,ingeniero guillermo n. juarez,-23.9,-61.85,75.31,68,2,9.01,AR,1713665522
142,al kharijah,25.4514,30.5464,72.14,28,0,8.86,EG,1713665522
143,hamilton,39.1834,-84.5333,48.0,54,85,5.99,US,1713664877
144,nova sintra,14.8667,-24.7167,73.69,78,99,19.13,CV,1713665149
145,kani keli,-12.9536,45.1033,83.46,73,100,9.04,YT,1713665524
146,panagyurishte,42.5,24.1833,46.42,84,64,2.39,BG,1713665524
147,lorengau,-2.0226,147.2712,86.45,63,38,7.45,PG,1713665524
148,winston-salem,36.0999,-80.2442,63.91,55,24,6.96,US,1713664918
149,talnakh,69.4865,88.3972,-1.73,96,55,7.16,RU,1713665070
150,fada,9.5667,8.3,77.49,60,17,2.89,NG,1713665527
151,colonia,50.9333,6.95,41.58,85,75,8.05,DE,1713665074
152,ilulissat,69.2167,-51.1,23.02,54,99,5.75,GL,1713664992
153,nema,57.5067,50.5011,42.75,74,51,5.19,RU,1713665528
154,suntar,62.1444,117.6319,34.93,100,100,7.31,RU,1713665528
155,nuuk,64.1835,-51.7216,32.61,74,100,36.82,GL,1713665400
156,longyearbyen,78.2186,15.6401,26.44,63,75,10.36,SJ,1713665147
157,crane,31.3974,-102.3501,51.51,81,100,16.24,US,1713665529
158,iskateley,67.6803,53.1512,14.02,93,100,21.0,RU,1713665166
159,vernon,50.2581,-119.2691,66.81,23,8,7.0,CA,1713665039
160,ribeira grande,38.5167,-28.7,62.78,94,100,4.0,PT,1713665048
161,chonchi,-42.6128,-73.8092,46.11,97,52,2.77,CL,1713665531
162,kendari,-3.945,122.4989,84.31,80,100,4.18,ID,1713665531
163,guozhen,34.3659,107.359,69.8,48,86,3.78,CN,1713665531
164,gadzhiyevo,69.2551,33.3362,23.0,67,99,15.95,RU,1713665006
165,banda aceh,5.5577,95.3222,84.07,72,55,8.12,ID,1713665532
166,lihue,21.9789,-159.3672,81.64,68,0,14.97,US,1713665228
167,badger,64.8,-147.5333,58.87,22,0,6.91,US,1713665205
168,upata,8.0086,-62.3989,74.19,84,87,6.13,VE,1713665533
169,kerikeri,-35.2268,173.9474,68.92,76,10,11.97,NZ,1713665265
170,priob'ye,62.5206,65.5964,31.03,99,100,2.77,RU,1713665534
171,college,64.8569,-147.8028,49.21,35,24,1.79,US,1713664959
172,petropavlovsk-kamchatsky,53.0452,158.6483,34.45,95,75,8.95,RU,1713665020
173,brookings,44.3114,-96.7984,39.54,48,0,3.44,US,1713665328
174,arno,60.1167,18.6333,28.78,81,100,15.37,SE,1713665535
175,solok,-0.7918,100.6593,83.35,80,70,1.59,ID,1713665536
176,afaahiti,-17.75,-149.2833,85.06,82,60,12.35,PF,1713665081
177,pisco,-13.7,-76.2167,69.85,83,0,5.75,PE,1713665123
178,port alfred,-33.5906,26.891,67.17,98,100,1.99,ZA,1713665145
179,poco verde,-10.7083,-38.1833,72.66,91,100,4.72,BR,1713665338
180,panitian,9.0965,118.0864,88.63,57,85,8.48,PH,1713665538
181,westport,41.1415,-73.3579,53.89,58,0,19.57,US,1713665156
182,tamboril,19.4854,-70.611,72.37,88,40,3.44,DO,1713665539
183,aykhal,66.0,111.5,30.99,98,100,4.56,RU,1713665540
184,loandjili,-4.7561,11.8578,80.71,94,40,4.61,CG,1713665540
185,tougue,11.4667,-11.6,76.62,66,70,4.68,GN,1713665540
186,viedma,-40.8135,-62.9967,51.01,44,2,3.87,AR,1713665286
187,umba,66.6871,34.3429,18.23,89,100,11.3,RU,1713665541
188,touros,-5.1989,-35.4608,76.78,91,100,6.82,BR,1713665160
189,avarua,-21.2078,-159.775,80.65,78,75,8.05,CK,1713665075
